         1240882520 function calls (1240874123 primitive calls) in 692.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      726    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
     2019    0.000    0.000    0.001    0.000 sre_parse.py:247(get)
     1448    0.000    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
  290/212    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      529    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      775    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:170(__exit__)
        1    0.000    0.000    0.072    0.072 _continuous_distns.py:5(<module>)
     1382    0.000    0.000    0.001    0.000 inspect.py:2709(<genexpr>)
      851    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      120    0.000    0.000    0.001    0.000 validation.py:33(_assert_all_finite)
      196    0.000    0.000    0.013    0.000 re.py:278(_compile)
      529    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      340    0.000    0.000    0.001    0.000 _util.py:292(<listcomp>)
      661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
     2644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      529    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      529    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
      290    0.000    0.000    0.001    0.000 function_base.py:3895(add_newdoc)
      341    0.000    0.000    0.001    0.000 inspect.py:447(unwrap)
   161/64    0.000    0.000    0.006    0.000 sre_parse.py:429(_parse_sub)
      333    0.000    0.000    0.002    0.000 inspect.py:2747(replace)
       66    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
     3579    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      726    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      661    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
        3    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       15    0.000    0.000    0.211    0.014 __init__.py:1(<module>)
     3867    0.000    0.000    0.000    0.000 inspect.py:2446(kind)
      341    0.000    0.000    0.012    0.000 inspect.py:2733(from_callable)
      340    0.000    0.000    0.000    0.000 _util.py:306(<listcomp>)
        5    0.000    0.000    0.000    0.000 {method 'compress' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.003    0.000 k_means_.py:43(_k_init)
      111    0.000    0.000    0.006    0.000 _distn_infrastructure.py:591(__init__)
     1080    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     3443    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       90    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.c_einsum}
      775    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
     2767    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       64    0.000    0.000    0.001    0.000 sre_compile.py:412(_compile_info)
        1    0.000    0.000    0.009    0.009 {scipy.sparse.csgraph._min_spanning_tree.minimum_spanning_tree}
     2083    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       64    0.000    0.000    0.012    0.000 sre_compile.py:531(compile)
      726    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
      661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       65    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
     1704    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       89    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.dot}
      661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
      169    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1185    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     2486    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
